brand,family,nickname,model_full,com_1,com_2,com_3,语言,安装方式,支架,power,防爆等级,外壳,信号协议
AW,AW-220 T1,T1,AW220T1PA001A,RTU_2,0,无电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PB001A,RTU_2,ANALOG,无电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PC001A,RTU_2,TCP,无电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PD001A,RTU_2,BT,无电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PE001A,RTU_2,WIFI,无电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PF001A,RTU_2,IO,无电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PG001A,RTU_2,ANALOG5V,无电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PH001A,RTU_2,ANALOG10V,无电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PA101A,RTU_2,0,锂电池,0,防尘式,立杆支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PA001D,RTU_2,0,无电池,0,防尘式,立杆支架,DC24V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PA002A,RTU_2,0,无电池,0,防尘式,壁挂支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PA002D,RTU_2,0,无电池,0,防尘式,壁挂支架,DC24V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PA101D,RTU_2,0,锂电池,0,防尘式,立杆支架,DC24V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PA102A,RTU_2,0,锂电池,0,防尘式,壁挂支架,AC220V,0,塑料外壳,A
AW,AW-220 T1,T1,AW220T1PA102D,RTU_2,0,锂电池,0,防尘式,壁挂支架,DC24V,0,塑料外壳,A
